"","X1","CASE_STATUS","EMPLOYER_NAME","SOC_NAME","JOB_TITLE","FULL_TIME_POSITION","PREVAILING_WAGE","YEAR","WORKSITE","lon","lat"
"50014",50014,"CERTIFIED","PAYPAL, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","DATABASE MARKETING ANALYST 5","Y",132808,2016,"SAN JOSE, CALIFORNIA",-121.8863286,37.3382082
"50015",50015,"CERTIFIED","JOHN BREVARD LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",45906,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50016",50016,"CERTIFIED","SAVANNAH SUPPLY INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING SPECIALIST-II","N",42099,2016,"STERLING, VIRGINIA",-77.4291298,39.0066993
"50017",50017,"CERTIFIED","THE HALO GROUP, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS AND MARKETING ANALYST","N",45906,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50018",50018,"CERTIFIED","AVANTEC VASCULAR CORPORATION","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","Y",84573,2016,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
"50019",50019,"CERTIFIED","WHITFORD ADVISORY SERVICES LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST AND MARKETING SPECIALIST","N",22922,2016,"PAOLI, PENNSYLVANIA",NA,NA
"50020",50020,"CERTIFIED","NORTECH NORTH AMERICA INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING SPECIALIST","N",42099,2016,"RESTON, VIRGINIA",-77.3570028,38.9586307
"50021",50021,"CERTIFIED","KYOCHON WEST LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",39354,2016,"GARDENA, CALIFORNIA",-118.3089624,33.8883487
"50022",50022,"CERTIFIED","YUME, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR ANALYST, MEDIA INSIGHTS & ANALYTICS","Y",77293,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50023",50023,"CERTIFIED","IGNITE PAYMENTS, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","CLIENT SERVICE ANALYST I","N",45906,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50024",50024,"CERTIFIED","KOHLER COMPANY","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR MARKET ANALYST - MEXICO","N",45157,2016,"KOHLER, WISCONSIN",-87.7817541,43.7391616
"50025",50025,"DENIED","ROI SPORTS MARKETING GROUP","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","N",45000,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50026",50026,"CERTIFIED","LUMA PICTURES INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING COORDINATOR","N",46134,2016,"SANTA MONICA, CALIFORNIA",-118.4911912,34.0194543
"50027",50027,"CERTIFIED","INTEL CORPORATION","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","STRATEGIC PLANNER","Y",84573,2016,"SANTA CLARA, CALIFORNIA",-121.9552356,37.3541079
"50028",50028,"CERTIFIED","AMG MARKETING SERVICES, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","ASSISTANT ACCOUNT EXECUTIVE - DIGITAL MARKETING","N",42536,2016,"NORWALK, CONNECTICUT",-73.4081575,41.117744
"50029",50029,"CERTIFIED","ASIA TV USA, LTD.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET ANALYST","N",46821,2016,"ISELIN, NEW JERSEY",-74.3223703,40.5753817
"50030",50030,"CERTIFIED","BACKSTAGE, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","USER ACQUISITION (MARKETING) ASSOCIATE","N",45906,2016,"BROOKLYN, NEW YORK",-73.9441579,40.6781784
"50031",50031,"DENIED","RAY CPA, P.C.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING SPECIALIST","N",35900.8,2016,"ROUND ROCK, TEXAS",-97.678896,30.5082551
"50032",50032,"CERTIFIED-WITHDRAWN","WILLIAM VELIE ATTORNEYS AT LAW, P.L.L.C.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","INTERNATIONAL MARKET RESEARCH ANALYST","N",31013,2016,"NORMAN, OKLAHOMA",-97.4394777,35.2225668
"50033",50033,"CERTIFIED-WITHDRAWN","TREXT, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",40914,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
"50034",50034,"CERTIFIED","DON MEGA LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","DIGITAL WEB MARKETING SPECIALIST","N",45905.6,2016,"ENGLEWOOD CLIFFS, NEW JERSEY",-73.9523597,40.8853773
"50035",50035,"CERTIFIED","OBERT, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING RESEARCH ANALYST","N",39354,2016,"CERRITOS, CALIFORNIA",-118.0647871,33.8583483
"50036",50036,"CERTIFIED","SYNERGY CAPITAL GROUP, LLC","MARKET RESEARCH ANALYSTS AND MARKETING","BUSINESS DEVELOPMENT SPECIALIST","N",59010,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
"50037",50037,"CERTIFIED","PACIFIC MARKETING ALLIANCE, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",45906,2016,"CARLSTADT, NEW JERSEY",-74.0906974,40.8403778
"50038",50038,"CERTIFIED","COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR MANAGER JC45 - MRA","Y",79435,2016,"BROKEN ARROW, OKLAHOMA",-95.7974526,36.060949
"50039",50039,"CERTIFIED","IBM CORPORATION","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","PRODUCT MANAGER","N",62774,2016,"PISCATAWAY, NEW JERSEY",-74.4642861,40.554887
"50040",50040,"CERTIFIED","CX SOLUTIONS, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","RESEARCH ANALYST","N",59051,2016,"ARLINGTON, VIRGINIA",-77.1067698,38.8799697
"50041",50041,"CERTIFIED","DUN & BRADSTREET, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","CHINA DATA  & INSIGHT SPECIALIST (SENIOR PRODUCT DIRECTOR)","Y",74402,2016,"SHORT HILLS, NEW JERSEY",-74.3232194,40.7483499
"50042",50042,"CERTIFIED","MCVEAN TRADING AND INVESTMENTS, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","GRAIN ANALYST","N",34653,2016,"MEMPHIS, TENNESSEE",-90.0489801,35.1495343
"50043",50043,"CERTIFIED","ORBITZ WORLDWIDE LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR SEM ANALYST","N",51106,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
"50044",50044,"CERTIFIED","SBS PROPERTY MANAGEMENT CORP","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","NEW MARKETS ANALYST","N",34882,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
"50045",50045,"CERTIFIED","DIZER CORP","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",36795,2016,"PAINESVILLE, OHIO",-81.245657,41.7244885
"50046",50046,"CERTIFIED","UNITED HELICOPTER, LLC","MARKET RESEARCH ANALYSTS AND MARKETING","AVIATION MARKET ANALYST","N",41953.6,2016,"SARASOTA, FLORIDA",-82.5306527,27.3364347
"50047",50047,"CERTIFIED","WORLDER INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING COORDINATOR","N",45905.6,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50048",50048,"CERTIFIED","IFIBER OPTIX INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS ANALYST","Y",75587,2016,"IRVINE, CALIFORNIA",-117.7946942,33.6839473
"50049",50049,"CERTIFIED","DELL USA L.P.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","PARTNER MANAGEMENT CONSULTANT","Y",103542,2016,"REDMOND, WASHINGTON",-122.121512,47.6739881
"50050",50050,"CERTIFIED","FYBER INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR PUBLISHER GROWTH MANAGER","Y",90106,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
"50051",50051,"CERTIFIED","ASCEND EAGLE INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING ANALYST","N",46134,2016,"PINOLE, CALIFORNIA",NA,NA
"50052",50052,"CERTIFIED","SIMPLEXGRINNELL LP","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","DIGITAL MARKETING ANALYST","Y",71074,2016,"WESTMINSTER, MASSACHUSETTS",NA,NA
"50053",50053,"CERTIFIED","GREEN IT SOLUTIONS INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",59634,2016,"FARMINGTON HILLS, MICHIGAN",-83.3677168,42.4989936
"50054",50054,"CERTIFIED","MO-LABS MEDIA LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET/SALES ANALYST","N",44928,2016,"DALLAS, TEXAS",-96.7969879,32.7766642
"50055",50055,"CERTIFIED","TASTEMADE INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","COMMUNITY MANAGER (MARKET RESEARCH ANALYST)","N",39354,2016,"SANTA MONICA, CALIFORNIA",-118.4911912,34.0194543
"50056",50056,"CERTIFIED","THE NIELSEN COMPANY (US), LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR ANALYST","Y",70096,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
"50057",50057,"WITHDRAWN","APEX TOOL GROUP, LLC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","PRODUCT MARKETING MANAGER","N",65229,2016,"SPARKS, MARYLAND",-76.6458043,39.5309389
"50058",50058,"CERTIFIED","GOVERNMENT WORKS INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS & MARKETING INTELLIGENCE ANALYST","N",47258,2016,"SOUTHBOROUGH, MASSACHUSETTS",-71.5245087,42.3056501
"50059",50059,"CERTIFIED","EAST WEST BANK","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET ANALYST","N",39354,2016,"PASADENA, CALIFORNIA",-118.1445155,34.1477849
"50060",50060,"CERTIFIED","US IT SOLUTIONS INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS DEVELOPMENT ANALYST","N",46134,2016,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
"50061",50061,"CERTIFIED","GOVERNMENT WORKS INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS & MARKETING INTELLIGENCE ANALYST","N",47258,2016,"SOUTHBOROUGH, MASSACHUSETTS",-71.5245087,42.3056501
"50062",50062,"CERTIFIED","RAY CPA, P.C.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING SPECIALIST","N",60257.6,2016,"ROUND ROCK, TEXAS",-97.678896,30.5082551
"50063",50063,"CERTIFIED","ROI SPORTS MARKETING GROUP","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","N",45906,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50064",50064,"CERTIFIED","NORTH AMERICA REAL ESTATE INVESTMENT GROUP","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING SPECIALIST","N",45260.8,2016,"BELLEVUE, WASHINGTON",-122.2015159,47.6101497
"50065",50065,"CERTIFIED","NOLIJ CONSULTING LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",42099,2016,"VIENNA, VIRGINIA",-77.2652604,38.9012225
"50066",50066,"CERTIFIED","WM GREEN SQUAD, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET INFORMATION ANALYST","N",54122,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
"50067",50067,"CERTIFIED","DELL USA L.P.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","PRODUCT MARKETING CONSULTANT","Y",96512,2016,"ROUND ROCK, TEXAS",-97.678896,30.5082551
"50068",50068,"CERTIFIED","IHS GLOBAL INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SR. ANALYST/RESEARCHER I","N",55994,2016,"EL SEGUNDO, CALIFORNIA",-118.4164652,33.9191799
"50069",50069,"CERTIFIED","DUN & BRADSTREET, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","CHINA DATA & INSIGHT SPECIALIST (SENIOR PRODUCT DIRECTOR)","Y",77293,2016,"JERSEY CITY, NEW JERSEY",-74.0776417,40.7281575
"50070",50070,"CERTIFIED","GLISTEN BERG INTERNATIONAL INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",37377.6,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
"50071",50071,"CERTIFIED","DURAFLEX INTERNATIONAL CORP.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",32136,2016,"SPARKS, NEVADA",-119.7526886,39.5349112
"50072",50072,"CERTIFIED","ANALOG DEVICES INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR MARKETING ANALYST","Y",85389,2016,"NORWOOD, MASSACHUSETTS",-71.1989695,42.1943909
"50073",50073,"CERTIFIED","DAVINCIAN HEALTHCARE, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET ANALYST","N",42120,2016,"AUSTIN, TEXAS",-97.7430608,30.267153
"50074",50074,"CERTIFIED","AM PART INTERNATIONAL INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","ENGINEERING MARKET CONSULTANT","N",61589,2016,"PARAMUS, NEW JERSEY",-74.0754189,40.9445428
"50075",50075,"CERTIFIED","ABM WIRELESS","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS DEVELOPMENT ANALYST","N",67288,2016,"HAUPPAUGE, NEW YORK",-73.2026138,40.8256536
"50076",50076,"CERTIFIED","EXTREME I INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING SPECIALIST","N",35297.6,2016,"CHERRY HILL, NEW JERSEY",-75.0246312,39.926813
"50077",50077,"CERTIFIED","DILLARD STORE SERVICES, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","INTERNATIONAL OPERATIONS BUSINESS ANALYST","N",36088,2016,"LITTLE ROCK, ARKANSAS",-92.2895948,34.7464809
"50078",50078,"CERTIFIED","C.P.R. MEDICAL TRANSPORTATION LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS DEVELOPMENT SPECIALIST","N",42099,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
"50079",50079,"CERTIFIED","THE CLOROX COMPANY","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","GLOBAL INSIGHTS DATA ANALYST, ANALYTIC INSIGHTS","N",64563,2016,"OAKLAND, CALIFORNIA",-122.2711137,37.8043637
"50080",50080,"CERTIFIED","GRAYLING COMMUNICATIONS INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","ACCOUNT MANAGER","N",61589,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50081",50081,"CERTIFIED","FRONTIER STRATEGY GROUP, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR MARKET RESEARCH ANALYST","Y",77293,2016,"BROOKLYN, NEW YORK",-73.9441579,40.6781784
"50082",50082,"CERTIFIED","PRIME ASIA LEATHER COMPANY","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BRAND MANAGER","N",54517,2016,"EXETER, NEW HAMPSHIRE",NA,NA
"50083",50083,"CERTIFIED","TIM ROSA ASSOCIATES, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",57470.4,2016,"WALTHAM, MASSACHUSETTS",-71.2356113,42.3764852
"50084",50084,"CERTIFIED","CRCM L.P.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","RESEARCH ANALYST","N",50086,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
"50085",50085,"CERTIFIED","NUENERGEN, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","ENERGY ANALYST","N",61589,2016,"WHITE PLAINS, NEW YORK",-73.7629097,41.0339862
"50086",50086,"CERTIFIED","PH SERVICES LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS DEVELOPMENT SPECIALIST","N",38771,2016,"LENEXA, KANSAS",-94.7335709,38.9536174
"50087",50087,"CERTIFIED","FRONTIER STRATEGY GROUP, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",42099,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
"50088",50088,"CERTIFIED","PHOENIX VANGUARD, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","GIS MARKETING ANALYST","N",61589,2016,"PEARL RIVER, NEW YORK",-74.0218063,41.0589855
"50089",50089,"CERTIFIED","PRECISION CASTINGS, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS ANALYST","N",55994,2016,"LA MIRADA, CALIFORNIA",-118.0120086,33.9172357
"50090",50090,"CERTIFIED","FLOOD MARKETING LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS DEVELOPMENT SPECIALIST","N",40456,2016,"SHERIDAN, WYOMING",NA,NA
"50091",50091,"CERTIFIED","QUALITY CONSULTING, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS ANALYST","N",52624,2016,"JOHNSTON, IOWA",-93.7130493,41.6709834
"50092",50092,"CERTIFIED","E & E CO., LTD","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","PRODUCT MANAGER","Y",101421,2016,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
"50093",50093,"CERTIFIED","UNIVERSITY OF COLORADO","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","DATA ANALYST","N",39998,2016,"BOULDER, COLORADO",-105.2705456,40.0149856
"50094",50094,"CERTIFIED","ICF RESOURCES, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR ASSOCIATE","Y",75982,2016,"FAIRFAX, VIRGINIA",-77.3063733,38.8462236
"50095",50095,"CERTIFIED-WITHDRAWN","NUTRASUMMA INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",55994,2016,"WESTLAKE VILLAGE, CALIFORNIA",-118.8073729,34.1466467
"50096",50096,"CERTIFIED","SAMSUNG ELECTRONICS AMERICA, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS PLANNING MANAGER I","Y",92976,2016,"RIDGEFIELD PARK, NEW JERSEY",-74.0215285,40.8570442
"50097",50097,"CERTIFIED","WILLIAM MOSES CO INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST (REAL ESTATE)","N",61589,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50098",50098,"CERTIFIED","FRONTIER STRATEGY GROUP, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR MARKET RESEARCH ANALYST","Y",92934,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
"50099",50099,"CERTIFIED","CINEMAYA MEDIA, INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",64563,2016,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
"50100",50100,"CERTIFIED","LOU INSURANCE & FINANCIAL SERVICES, INC.","MARKET RESEARCH ANALYSTS AND MARKETING","MARKET RESEARCH ANALYST","N",44928,2016,"PLANO, TEXAS",-96.6988856,33.0198431
"50101",50101,"CERTIFIED","MICROCHIP TECHNOLOGY, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SR. PRODUCT MARKETING ENGINEER","N",58843,2016,"CHANDLER, ARIZONA",-111.8412502,33.3061605
"50102",50102,"CERTIFIED","ASIA TV USA, LTD","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET ANALYST","N",46821,2016,"ISELIN, NEW JERSEY",-74.3223703,40.5753817
"50103",50103,"CERTIFIED","SEARCH AMERICA LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST AND MARKETING SPECIALIST","N",50024,2016,"PEABODY, MASSACHUSETTS",-70.9286609,42.5278731
"50104",50104,"CERTIFIED","DESIGNWORKS","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","ASSOCIATE DIRECTOR, STRATEGIC PARTNERING","Y",102128,2016,"NEWBURY PARK, CALIFORNIA",-118.9070887,34.1805403
"50105",50105,"CERTIFIED","LENOVO (UNITED STATES) INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","4P MANAGER NA DCG","N",51896,2016,"MORRISVILLE, NORTH CAROLINA",-78.8255621,35.823483
"50106",50106,"CERTIFIED","INTERNATIONAL SOFTWARE SYSTEMS INC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS ANALYST","N",39000,2016,"OWINGS MILLS, MARYLAND",-76.7802528,39.4195499
"50107",50107,"CERTIFIED","COWAY USA, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING STRATEGIC PLANNING MANAGER","N",45906,2016,"PALISADES PARK, NEW JERSEY",-73.997639,40.8481556
"50108",50108,"CERTIFIED","INET NETWORK, INC.","MARKET RESEARCH ANALYSTS AND MARKETING","NEW BUSINESS STRATEGIST","N",56264,2016,"RICHMOND, VIRGINIA",-77.4360481,37.5407246
"50109",50109,"CERTIFIED","NATIONAL OILWELL VARCO, L.P.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","REGIONAL NEW PRODUCT DEVELOPMENT MANAGER","N",54122,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
"50110",50110,"CERTIFIED","STAMFORD SCIENTIFIC INTERNATIONAL, INC.","MARKET RESEARCH ANALYSTS AND MARKETING","BUSINESS DEVELOPMENT LIAISON","N",39666,2016,"POUGHKEEPSIE, NEW YORK",-73.9209701,41.7003713
"50111",50111,"CERTIFIED","LEAPFROG ONLINE CUSTOMER ACQUISITION, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SR. ACCOUNT MANAGER","Y",80704,2016,"EVANSTON, ILLINOIS",-87.6876969,42.0450722
"50112",50112,"CERTIFIED","COWAY USA, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING STRATEGIC PLANNING SENIOR MANAGER","N",45906,2016,"PALISADES PARK, NEW JERSEY",-73.997639,40.8481556
